candidate_ts_code,candidate_name,active_ts_code,active_name,exposure_vector_correlation,daily_return_correlation,paired_return_days
511090.SH,30年国债ETF,511260.SH,10年国债ETF,0.988543386254293,0.8669958947215219,759
511090.SH,30年国债ETF,511010.SH,国债ETF,0.9832890924088471,0.7107730392072134,759
511090.SH,30年国债ETF,511880.SH,日利ETF,0.5632951735298642,0.05014584580509404,759
511090.SH,30年国债ETF,518880.SH,黄金ETF,-0.02927860422719292,0.02704937459169253,759
511090.SH,30年国债ETF,511030.SH,信用债ETF,-0.191582124833085,0.43837834549714716,759
511090.SH,30年国债ETF,159985.SZ,豆粕ETF,-0.23844851355297125,0.024095941554939347,759
511090.SH,30年国债ETF,162411.SZ,原油ETF,-0.27422704541820675,-0.027166360882244618,759
511090.SH,30年国债ETF,161226.SZ,白银LOF,-0.3132110550604873,-0.007609241428286687,755
511090.SH,30年国债ETF,513500.SH,标普500ETF,-0.3628333970725648,-0.029885064376573338,759
511090.SH,30年国债ETF,513880.SH,日经225ETF,-0.3724871345410328,-0.06860698054237203,759
511090.SH,30年国债ETF,159941.SZ,纳指ETF,-0.39171542135080056,-0.05938115986569696,759
511090.SH,30年国债ETF,159981.SZ,能源化工期货ETF,-0.424840054298433,-0.1430387170382249,759
511090.SH,30年国债ETF,513030.SH,欧洲ETF,-0.42960895126940757,-0.1347782244251414,757
511090.SH,30年国债ETF,588000.SH,科创50ETF,-0.5117106936207546,-0.22485249024242043,759
511090.SH,30年国债ETF,159819.SZ,人工智能ETF,-0.5217183397930717,-0.22006221317541547,759
511090.SH,30年国债ETF,516160.SH,新能源ETF,-0.5409427937114929,-0.24308468295426416,759
511090.SH,30年国债ETF,515220.SH,煤炭ETF,-0.5509969095804957,-0.16004297870328965,759
511090.SH,30年国债ETF,563300.SH,中证2000ETF,-0.5534587486568575,-0.2413783891923807,694
511090.SH,30年国债ETF,159980.SZ,有色金属期货ETF,-0.5575326524584644,-0.15201610809243762,759
511090.SH,30年国债ETF,159915.SZ,创业板ETF,-0.5645652586060029,-0.26924807253794913,759
511090.SH,30年国债ETF,159928.SZ,消费ETF,-0.5727467411053742,-0.2616135571804138,759
511090.SH,30年国债ETF,512660.SH,军工ETF,-0.5757731635629993,-0.19815312046664776,759
511090.SH,30年国债ETF,159920.SZ,恒生ETF,-0.5772489956730086,-0.25520814518747775,759
511090.SH,30年国债ETF,512480.SH,半导体ETF,-0.5773132993441299,-0.19098254267634346,759
511090.SH,30年国债ETF,510300.SH,沪深300ETF,-0.5838369334980155,-0.2863546446474314,759
511090.SH,30年国债ETF,511380.SH,可转债ETF,-0.5995972072925404,-0.23462348431433122,759
511090.SH,30年国债ETF,512100.SH,中证1000ETF,-0.610984844270389,-0.278047075868574,759
511090.SH,30年国债ETF,510880.SH,红利ETF,-0.6140626451439172,-0.12853161838514734,759
511090.SH,30年国债ETF,512880.SH,证券ETF,-0.6144744977358054,-0.2601311386164973,759
511090.SH,30年国债ETF,510500.SH,中证500ETF,-0.6248901523957977,-0.28701859441039274,759
513310.SH,中韩半导体ETF,159819.SZ,人工智能ETF,0.9677132233873159,0.6586790028570493,872
513310.SH,中韩半导体ETF,159915.SZ,创业板ETF,0.9622130281599743,0.6219756337307265,872
513310.SH,中韩半导体ETF,511380.SH,可转债ETF,0.9600809590511311,0.4969290032055848,872
