ts_code,name,universe_status,exposure_china_market,exposure_china_size,exposure_china_value,exposure_duration,exposure_credit,exposure_commodity,exposure_global_equity,observations_china_market,observations_china_size,observations_china_value,observations_duration,observations_credit,observations_commodity,observations_global_equity,min_factor_observations
511380.SH,可转债ETF,active_30,0.717890568639438,0.354693193030142,-0.32708959948891997,-0.14468927945892782,0.10221413535185288,0.2334921715798421,0.4062429015499766,1532,1530,1532,1532,1475,1532,1532,1475
511010.SH,国债ETF,active_30,-0.26185465693979987,-0.02399681724280629,0.06767946896893194,0.7762858384413086,-0.5690424544048223,-0.1302824257162641,-0.1295797944463473,1581,1579,1581,1581,1518,1581,1581,1518
511260.SH,10年国债ETF,active_30,-0.27862259833942865,-0.05569012703347794,0.10943258680263158,0.9963399076950267,-0.4346418532629804,-0.14468484450990154,-0.145214049205352,1581,1579,1581,1581,1518,1581,1581,1518
511030.SH,信用债ETF,active_30,-0.04189296878131583,-0.039711360514804,0.06037846772255383,0.18297137485378082,0.6896001960207878,-0.02229345701048321,-0.02089833743775413,1518,1516,1518,1518,1518,1518,1518,1516
511880.SH,日利ETF,active_30,-0.20459979663671454,-0.044282409566514074,0.1418590277346151,0.026693749933007112,-0.061853355973813126,-0.05699859855939887,-0.1436664567128072,1581,1579,1581,1581,1518,1581,1581,1518
510300.SH,沪深300ETF,active_30,0.9999405549460482,0.008451242034860623,-0.5717115592143958,-0.2629740197656653,0.16026589678987424,0.30521244881129356,0.492607446763712,1581,1579,1581,1581,1518,1581,1581,1518
510500.SH,中证500ETF,active_30,0.840372802802495,0.48071053974663763,-0.4650122486454336,-0.24415406540612272,0.11792619716949403,0.28457175803218426,0.4461445527255159,1581,1579,1581,1581,1518,1581,1581,1518
512100.SH,中证1000ETF,active_30,0.7695941262613109,0.6453221402372868,-0.4464452482755834,-0.23413803803274183,0.11129235559953046,0.24123879409972937,0.40662911516888633,1579,1579,1579,1579,1516,1579,1579,1516
563300.SH,中证2000ETF,active_30,0.6862517765517492,0.7748315406881674,-0.5228935696618954,-0.19824250561195308,0.10231618852325647,0.1537660507258302,0.3851663817501269,694,694,694,694,694,694,694,694
159915.SZ,创业板ETF,active_30,0.8424744932146648,0.27459476308508807,-0.6664363688456092,-0.22133447627273822,0.09715517134923747,0.18217613547982006,0.3939112912658957,1579,1577,1579,1579,1516,1579,1579,1516
