trade_date,ts_code,fund_name,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adj_close
2019-12-24,159980.SZ,大成有色金属期货ETF,1.013,1.019,1.009,1.016,1.016,0,0,439772.12,44473.124,1,1.016
2019-12-25,159980.SZ,大成有色金属期货ETF,1.011,1.017,1.011,1.017,1.016,0.001,0.0984,192699.88,19555.762,1,1.017
2019-12-26,159980.SZ,大成有色金属期货ETF,1.014,1.015,1.012,1.014,1.017,-0.003,-0.295,66635.02,6757.245,1,1.014
2019-12-27,159980.SZ,大成有色金属期货ETF,1.015,1.018,1.013,1.016,1.014,0.002,0.1972,156595.83,15889.982,1,1.016
2019-12-30,159980.SZ,大成有色金属期货ETF,1.015,1.016,1.011,1.014,1.016,-0.002,-0.1969,53742.63,5446.319,1,1.014
2019-12-31,159980.SZ,大成有色金属期货ETF,1.012,1.013,1.009,1.012,1.014,-0.002,-0.1972,20924.06,2114.852,1,1.012
2020-01-02,159980.SZ,大成有色金属期货ETF,1.013,1.015,1.008,1.009,1.012,-0.003,-0.2964,75622.41,7641.714,1,1.009
2020-01-03,159980.SZ,大成有色金属期货ETF,1.008,1.008,1,1.001,1.009,-0.008,-0.7929,74213.57,7440.335,1,1.001
2020-01-06,159980.SZ,大成有色金属期货ETF,1,1.004,1,1.001,1.001,0,0,60297.67,6040.291,1,1.001
2020-01-07,159980.SZ,大成有色金属期货ETF,1.001,1.005,1.001,1.005,1.001,0.004,0.3996,41688.02,4183.775,1,1.005
2020-01-08,159980.SZ,大成有色金属期货ETF,1.005,1.007,1.003,1.006,1.005,0.001,0.0995,77402.24,7781.79,1,1.006
2020-01-09,159980.SZ,大成有色金属期货ETF,1.008,1.013,1.008,1.011,1.006,0.005,0.497,64351.38,6507.153,1,1.011
2020-01-10,159980.SZ,大成有色金属期货ETF,1.011,1.013,1.009,1.013,1.011,0.002,0.1978,34550.44,3495.007,1,1.013
2020-01-13,159980.SZ,大成有色金属期货ETF,1.014,1.014,1.009,1.012,1.013,-0.001,-0.0987,17411.07,1759.753,1,1.012
2020-01-14,159980.SZ,大成有色金属期货ETF,1.01,1.012,1.007,1.009,1.012,-0.003,-0.2964,45367.01,4581.035,1,1.009
2020-01-15,159980.SZ,大成有色金属期货ETF,1.01,1.013,1.01,1.012,1.009,0.003,0.2973,20898.16,2115.048,1,1.012
2020-01-16,159980.SZ,大成有色金属期货ETF,1.014,1.019,1.014,1.018,1.012,0.006,0.5929,37998.31,3864.486,1,1.018
2020-01-17,159980.SZ,大成有色金属期货ETF,1.015,1.02,1.015,1.018,1.018,0,0,65862.33,6701.958,1,1.018
2020-01-20,159980.SZ,大成有色金属期货ETF,1.015,1.017,1.014,1.016,1.018,-0.002,-0.1965,9062.35,919.834,1,1.016
2020-01-21,159980.SZ,大成有色金属期货ETF,1.014,1.014,1.003,1.003,1.016,-0.013,-1.2795,38647.19,3888.109,1,1.003
2020-01-22,159980.SZ,大成有色金属期货ETF,1.003,1.009,1.003,1.008,1.003,0.005,0.4985,13840.37,1392.93,1,1.008
2020-01-23,159980.SZ,大成有色金属期货ETF,1.002,1.005,0.995,0.997,1.008,-0.011,-1.0913,32614.03,3254.168,1,0.997
2020-02-03,159980.SZ,大成有色金属期货ETF,0.959,0.959,0.897,0.939,0.997,-0.058,-5.8175,19858.11,1856.887,1,0.939
2020-02-04,159980.SZ,大成有色金属期货ETF,0.94,0.95,0.94,0.95,0.939,0.011,1.1715,19559.09,1850.36,1,0.95
2020-02-05,159980.SZ,大成有色金属期货ETF,0.95,0.957,0.948,0.954,0.95,0.004,0.4211,26501.1,2523.9,1,0.954
2020-02-06,159980.SZ,大成有色金属期货ETF,0.956,0.963,0.955,0.96,0.954,0.006,0.6289,4141.01,397.761,1,0.96
2020-02-07,159980.SZ,大成有色金属期货ETF,0.958,0.96,0.956,0.956,0.96,-0.004,-0.4167,4636.11,443.966,1,0.956
2020-02-10,159980.SZ,大成有色金属期货ETF,0.956,0.956,0.952,0.954,0.956,-0.002,-0.2092,7778,741.971,1,0.954
2020-02-11,159980.SZ,大成有色金属期货ETF,0.954,0.959,0.954,0.957,0.954,0.003,0.3145,5987.02,573.072,1,0.957
2020-02-12,159980.SZ,大成有色金属期货ETF,0.957,0.965,0.955,0.959,0.957,0.002,0.209,27150,2600.679,1,0.959
2020-02-13,159980.SZ,大成有色金属期货ETF,0.959,0.963,0.958,0.961,0.959,0.002,0.2086,4641.06,445.605,1,0.961
2020-02-14,159980.SZ,大成有色金属期货ETF,0.961,0.966,0.96,0.962,0.961,0.001,0.1041,2798,269.473,1,0.962
2020-02-17,159980.SZ,大成有色金属期货ETF,0.962,0.97,0.959,0.968,0.962,0.006,0.6237,6534.01,628.851,1,0.968
