asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,247,0.06618632225361142,True
5年国债ETF,444,444,0.23528975296016272,True
10年国债ETF,444,444,0.20235711028157505,True
信用债ETF,369,369,0.18650664665898223,True
日利ETF,444,443,0.25973842800972646,True
沪深300ETF,444,295,0.06507060419379658,True
中证500ETF,444,259,0.045307696738263334,True
中证1000ETF,444,254,0.06404107717245074,True
中证2000ETF,140,75,0.09513204759988342,True
创业板ETF,444,297,0.1314306231551952,True
红利ETF,444,310,0.08063183913154573,True
半导体ETF,359,231,0.132001736482123,True
人工智能ETF,292,174,0.15843181661492092,True
新能源ETF,272,133,0.12642982744309955,True
科创50ETF,285,182,0.0745065139575272,True
证券ETF,444,251,0.1709586784733778,True
军工ETF,444,270,0.12523925620187765,True
消费ETF,444,322,0.1871833924491755,True
恒生ETF,444,244,0.14485922001267312,True
白银LOF,444,313,0.14826952464687176,True
纳指ETF,444,408,0.14749979858881884,True
标普500ETF,444,376,0.12738024888614344,True
日经225ETF,357,275,0.1411776264674771,True
欧洲ETF,444,352,0.17514242578302305,True
黄金ETF,444,395,0.186302194416484,True
有色金属期货ETF,331,235,0.11153074933830018,True
能源化工期货ETF,327,217,0.14349862233080513,True
豆粕ETF,333,290,0.15388786337206548,True
煤炭ETF,321,189,0.14133406747892927,True
原油ETF,444,258,0.10724218353703896,True
