asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,99,0.0356023900995666,True
5年国债ETF,444,327,0.2252010527187977,True
10年国债ETF,444,315,0.14833294195022642,True
信用债ETF,369,243,0.16184387457950114,True
日利ETF,444,444,0.8741704016342715,True
沪深300ETF,444,171,0.0432426273712802,True
中证500ETF,444,153,0.035681613102703645,True
中证1000ETF,444,152,0.05240349339863551,True
中证2000ETF,140,42,0.11680587840446477,True
创业板ETF,444,246,0.14436927822669296,True
红利ETF,444,176,0.06566625734898078,True
半导体ETF,359,194,0.1552876682165052,True
人工智能ETF,292,137,0.1857101662152539,True
新能源ETF,272,129,0.15209540839619007,True
科创50ETF,285,136,0.08346575495420173,True
证券ETF,444,198,0.1886284211585422,True
军工ETF,444,196,0.1556775834609603,True
消费ETF,444,255,0.19275228092144298,True
恒生ETF,444,185,0.16954713666416918,True
白银LOF,444,251,0.1596167841104348,True
纳指ETF,444,295,0.17124466287110385,True
标普500ETF,444,261,0.10061928684534856,True
日经225ETF,357,183,0.13508360961440188,True
欧洲ETF,444,235,0.20666731595280044,True
黄金ETF,444,311,0.15394420417212892,True
有色金属期货ETF,331,138,0.08506178302348277,True
能源化工期货ETF,327,158,0.1327340383526904,True
豆粕ETF,333,165,0.1598486926779835,True
煤炭ETF,321,135,0.18110701845782193,True
原油ETF,444,217,0.12112061558957343,True
