date,asset_count,min_observations_required,included_assets,excluded_assets,exclusion_reasons
2016-01-15,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:zero_variance|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:zero_variance|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:zero_variance|半导体ETF:no_observations|原油ETF:zero_variance|可转债ETF:no_observations|恒生ETF:zero_variance|新能源ETF:no_observations|日利ETF:zero_variance|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:zero_variance|欧洲ETF:zero_variance|沪深300ETF:zero_variance|消费ETF:zero_variance|煤炭ETF:no_observations|白银LOF:zero_variance|科创50ETF:no_observations|红利ETF:zero_variance|纳指ETF:zero_variance|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:zero_variance
2016-01-22,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(6)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(6)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(6)|半导体ETF:no_observations|原油ETF:insufficient_observations(6)|可转债ETF:no_observations|恒生ETF:insufficient_observations(6)|新能源ETF:no_observations|日利ETF:insufficient_observations(6)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(6)|欧洲ETF:insufficient_observations(6)|沪深300ETF:insufficient_observations(6)|消费ETF:insufficient_observations(6)|煤炭ETF:no_observations|白银LOF:insufficient_observations(6)|科创50ETF:no_observations|红利ETF:insufficient_observations(6)|纳指ETF:insufficient_observations(6)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(6)
2016-01-29,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(11)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(11)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(11)|半导体ETF:no_observations|原油ETF:insufficient_observations(11)|可转债ETF:no_observations|恒生ETF:insufficient_observations(11)|新能源ETF:no_observations|日利ETF:insufficient_observations(11)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(11)|欧洲ETF:insufficient_observations(11)|沪深300ETF:insufficient_observations(11)|消费ETF:insufficient_observations(11)|煤炭ETF:no_observations|白银LOF:insufficient_observations(11)|科创50ETF:no_observations|红利ETF:insufficient_observations(11)|纳指ETF:insufficient_observations(11)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(11)
2016-02-05,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(16)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(16)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(16)|半导体ETF:no_observations|原油ETF:insufficient_observations(16)|可转债ETF:no_observations|恒生ETF:insufficient_observations(16)|新能源ETF:no_observations|日利ETF:insufficient_observations(16)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(16)|欧洲ETF:insufficient_observations(16)|沪深300ETF:insufficient_observations(16)|消费ETF:insufficient_observations(16)|煤炭ETF:no_observations|白银LOF:insufficient_observations(16)|科创50ETF:no_observations|红利ETF:insufficient_observations(16)|纳指ETF:insufficient_observations(16)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(16)
2016-02-19,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(21)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(21)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(21)|半导体ETF:no_observations|原油ETF:insufficient_observations(21)|可转债ETF:no_observations|恒生ETF:insufficient_observations(21)|新能源ETF:no_observations|日利ETF:insufficient_observations(21)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(21)|欧洲ETF:insufficient_observations(21)|沪深300ETF:insufficient_observations(21)|消费ETF:insufficient_observations(21)|煤炭ETF:no_observations|白银LOF:insufficient_observations(21)|科创50ETF:no_observations|红利ETF:insufficient_observations(21)|纳指ETF:insufficient_observations(21)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(21)
2016-02-26,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(26)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(26)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(26)|半导体ETF:no_observations|原油ETF:insufficient_observations(26)|可转债ETF:no_observations|恒生ETF:insufficient_observations(26)|新能源ETF:no_observations|日利ETF:insufficient_observations(26)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(26)|欧洲ETF:insufficient_observations(26)|沪深300ETF:insufficient_observations(26)|消费ETF:insufficient_observations(26)|煤炭ETF:no_observations|白银LOF:insufficient_observations(26)|科创50ETF:no_observations|红利ETF:insufficient_observations(26)|纳指ETF:insufficient_observations(26)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(26)
2016-03-04,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(31)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(31)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(31)|半导体ETF:no_observations|原油ETF:insufficient_observations(31)|可转债ETF:no_observations|恒生ETF:insufficient_observations(31)|新能源ETF:no_observations|日利ETF:insufficient_observations(31)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(31)|欧洲ETF:insufficient_observations(31)|沪深300ETF:insufficient_observations(31)|消费ETF:insufficient_observations(31)|煤炭ETF:no_observations|白银LOF:insufficient_observations(31)|科创50ETF:no_observations|红利ETF:insufficient_observations(31)|纳指ETF:insufficient_observations(31)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(31)
2016-03-11,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(36)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(36)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(36)|半导体ETF:no_observations|原油ETF:insufficient_observations(36)|可转债ETF:no_observations|恒生ETF:insufficient_observations(36)|新能源ETF:no_observations|日利ETF:insufficient_observations(36)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(36)|欧洲ETF:insufficient_observations(36)|沪深300ETF:insufficient_observations(36)|消费ETF:insufficient_observations(36)|煤炭ETF:no_observations|白银LOF:insufficient_observations(36)|科创50ETF:no_observations|红利ETF:insufficient_observations(36)|纳指ETF:insufficient_observations(36)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(36)
2016-03-18,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(41)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(41)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(41)|半导体ETF:no_observations|原油ETF:insufficient_observations(41)|可转债ETF:no_observations|恒生ETF:insufficient_observations(41)|新能源ETF:no_observations|日利ETF:insufficient_observations(41)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(41)|欧洲ETF:insufficient_observations(41)|沪深300ETF:insufficient_observations(41)|消费ETF:insufficient_observations(41)|煤炭ETF:no_observations|白银LOF:insufficient_observations(41)|科创50ETF:no_observations|红利ETF:insufficient_observations(41)|纳指ETF:insufficient_observations(41)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(41)
2016-03-25,0,60,,10年国债ETF|5年国债ETF|中证1000ETF|中证2000ETF|中证500ETF|人工智能ETF|信用债ETF|军工ETF|创业板ETF|半导体ETF|原油ETF|可转债ETF|恒生ETF|新能源ETF|日利ETF|日经225ETF|有色金属期货ETF|标普500ETF|欧洲ETF|沪深300ETF|消费ETF|煤炭ETF|白银LOF|科创50ETF|红利ETF|纳指ETF|能源化工期货ETF|证券ETF|豆粕ETF|黄金ETF,10年国债ETF:no_observations|5年国债ETF:insufficient_observations(46)|中证1000ETF:no_observations|中证2000ETF:no_observations|中证500ETF:insufficient_observations(46)|人工智能ETF:no_observations|信用债ETF:no_observations|军工ETF:no_observations|创业板ETF:insufficient_observations(46)|半导体ETF:no_observations|原油ETF:insufficient_observations(46)|可转债ETF:no_observations|恒生ETF:insufficient_observations(46)|新能源ETF:no_observations|日利ETF:insufficient_observations(46)|日经225ETF:no_observations|有色金属期货ETF:no_observations|标普500ETF:insufficient_observations(46)|欧洲ETF:insufficient_observations(46)|沪深300ETF:insufficient_observations(46)|消费ETF:insufficient_observations(46)|煤炭ETF:no_observations|白银LOF:insufficient_observations(46)|科创50ETF:no_observations|红利ETF:insufficient_observations(46)|纳指ETF:insufficient_observations(46)|能源化工期货ETF:no_observations|证券ETF:no_observations|豆粕ETF:no_observations|黄金ETF:insufficient_observations(46)
