asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,274,0.06494355512294281,True
5年国债ETF,444,444,0.23528975292964957,True
10年国债ETF,444,444,0.2028648503733026,True
信用债ETF,369,369,0.18650664600111824,True
日利ETF,444,444,0.2597475408722979,True
沪深300ETF,444,335,0.07243303800781256,True
中证500ETF,444,282,0.0883232149872506,True
中证1000ETF,444,277,0.11435286931888672,True
中证2000ETF,140,76,0.14194305154900666,True
创业板ETF,444,264,0.19655952734236679,True
红利ETF,444,354,0.13133514679686356,True
半导体ETF,359,215,0.14294693598767125,True
人工智能ETF,292,175,0.16113371173247035,True
新能源ETF,272,129,0.12742399592597992,True
科创50ETF,285,181,0.08701916190340374,True
证券ETF,444,255,0.1819085769149392,True
军工ETF,444,274,0.1430992628281109,True
消费ETF,444,341,0.18636340948723207,True
恒生ETF,444,274,0.13534152884330897,True
白银LOF,444,314,0.17073049634614937,True
纳指ETF,444,387,0.129154217544502,True
标普500ETF,444,392,0.1290658752176932,True
日经225ETF,357,286,0.14081656401281192,True
欧洲ETF,444,365,0.1378276420750563,True
黄金ETF,444,413,0.22990268564787028,True
有色金属期货ETF,331,265,0.16034943682578995,True
能源化工期货ETF,327,232,0.16628990339107422,True
豆粕ETF,333,297,0.12225569267446922,True
煤炭ETF,321,184,0.1840838348860038,True
原油ETF,444,281,0.10355371969911789,True
