asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,87,0.02059445648204572,True
5年国债ETF,444,442,0.2606124861404658,True
10年国债ETF,444,444,0.1523693388144121,True
信用债ETF,369,369,0.19767734535279788,True
日利ETF,444,444,0.9885782419113849,True
沪深300ETF,444,58,0.0060399008221309995,True
中证500ETF,444,8,0.0021566778695716778,True
中证1000ETF,444,35,0.003335198009176219,True
中证2000ETF,140,23,0.0027103652408103363,True
创业板ETF,444,77,0.0033498594033884344,True
红利ETF,444,161,0.02985654458425669,True
半导体ETF,359,208,0.0047196950391025635,True
人工智能ETF,292,86,0.007034471994495787,True
新能源ETF,272,54,0.004010900506294689,True
科创50ETF,285,81,0.004195021180722164,True
证券ETF,444,180,0.01612412971049795,True
军工ETF,444,98,0.002803709402047341,True
消费ETF,444,265,0.018166668360437087,True
恒生ETF,444,191,0.01030807588430479,True
白银LOF,444,124,0.029064723861576727,True
纳指ETF,444,137,0.036316133639248266,True
标普500ETF,444,108,0.025154357027303672,True
日经225ETF,357,108,0.021071063021290873,True
欧洲ETF,444,244,0.03185880778925003,True
黄金ETF,444,270,0.06063491998738593,True
有色金属期货ETF,331,159,0.009167989927633518,True
能源化工期货ETF,327,169,0.022539815247879416,True
豆粕ETF,333,227,0.012587734835085249,True
煤炭ETF,321,135,0.00517259334284387,True
原油ETF,444,75,0.003911291090851029,True
