asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used,mean_rebalance_weight,median_rebalance_weight,final_weight
可转债ETF,317,317,0.055549764279924065,True,0.025375625107930552,0.03243160898528235,0.02689395744554097
5年国债ETF,445,445,0.2359060425178883,True,0.17825412167430696,0.17224183160922332,0.17678887782458383
10年国债ETF,445,445,0.20414064094079065,True,0.17813874946235045,0.17841938578563343,0.17889337970586341
信用债ETF,370,370,0.18457466215149412,True,0.12673223888134752,0.15158685460574525,0.1790639376861777
日利ETF,445,445,0.26358052256469044,True,0.18006497460251306,0.1732629044527398,0.1842092360473944
沪深300ETF,445,426,0.02069131994674979,True,0.009631966619493336,0.009327794216303798,0.0112250044962026
中证500ETF,445,385,0.02178700865381362,True,0.005997790134341588,0.005186511049882182,2.7536431658359743e-07
中证1000ETF,445,351,0.02064861791320109,True,0.0046045689444734325,0.004363289606782607,0.0031107796781523595
中证2000ETF,141,64,0.012530492380077588,True,0.0007877302643639125,0.0,0.007273856765527202
创业板ETF,445,292,0.02637649000485949,True,0.00291973073672661,0.0021881877570218474,6.834381916735031e-08
红利ETF,445,445,0.04775315358857083,True,0.02405828538171361,0.02227019183657318,0.029096112624584034
半导体ETF,360,267,0.02060007423415866,True,0.0029545499125619807,0.001690485219502608,0.0005541752203134556
人工智能ETF,293,200,0.028437748398094716,True,0.0029681913687332503,3.372925791411085e-08,3.71323386431444e-08
新能源ETF,273,126,0.017029946446291074,True,0.00094767905702954,3.576508408647682e-09,5.692554698335282e-07
科创50ETF,286,235,0.021337938897953015,True,0.0033005059971417732,0.0007003569085159882,0.00040983545611291485
证券ETF,445,326,0.03374075614466402,True,0.004217840723619859,0.0033916150292660767,0.01033167914322199
军工ETF,445,348,0.022767274820237944,True,0.005059143701330436,0.004423675834917022,0.004474482356972925
消费ETF,445,429,0.035571249048499454,True,0.011784090910158774,0.010987842445313376,0.026272450904280476
恒生ETF,445,394,0.04268211001830675,True,0.009641316262583143,0.007593356429291502,0.013900848414260914
白银LOF,445,364,0.09768515105333028,True,0.02060277420885594,0.011963586334632442,3.597843005431042e-09
纳指ETF,445,427,0.060447798965931776,True,0.01336546190527569,0.01385301966205582,0.012095364120069533
标普500ETF,445,444,0.061122917659680795,True,0.022482654554872434,0.023165550245572403,0.02255401989405542
日经225ETF,358,355,0.04989305127276062,True,0.014273642998439346,0.014103039657430476,0.00036466793659915115
欧洲ETF,445,436,0.059380688959458375,True,0.020885487534567978,0.02000081743564209,0.020441528368447467
黄金ETF,445,439,0.15327232952038145,True,0.06349176985310953,0.056266964256809514,0.00326995205465977
有色金属期货ETF,332,332,0.044090791534303,True,0.01288688115238585,0.011802669171719056,0.008454691563262345
能源化工期货ETF,328,328,0.054906756622468605,True,0.014507243222490633,0.012014120836342243,0.030938313856461983
豆粕ETF,334,334,0.08884384799716062,True,0.030022134174221175,0.028290385479858408,0.03732576742338527
煤炭ETF,322,199,0.02888741704654558,True,0.0026366359462608596,2.4423978224173202e-08,0.0009316999475519478
原油ETF,445,363,0.03010050555216557,True,0.007406214706680027,0.006461333633590881,0.011124427372532044
