etf,ticker,asset_class,first_valid_date,last_valid_date,available_observations,missing_ratio,daily_mean_return,daily_volatility,annualized_return,annualized_volatility,max_drawdown
可转债ETF,511380.SH,convertible bond,2020-04-07,2026-04-30,1470,0.27191679049034173,0.00021912527296143308,0.005497100367212818,0.06097678864254896,0.0856913141728632,-0.15896214795960262
国债ETF,511010.SH,government bond,2018-02-07,2026-04-30,1992,0.01337295690936107,0.0001387094833270426,0.0010596092114410877,0.032936548270818156,0.016517672913455614,-0.04921896626725186
信用债ETF,511030.SH,credit bond,2019-03-22,2026-04-30,1678,0.16889549281822686,8.873060822314624e-05,0.001058856437132681,0.025768130555051894,0.01650593832331648,-0.04474445515911263
日利ETF,511880.SH,money market,2018-02-07,2026-04-30,1992,0.01337295690936107,7.385253051976675e-05,0.00011872104850459165,0.019745798643328483,0.0018506779914402164,-0.0019624690008006596
沪深300ETF,510300.SH,china equity,2018-02-08,2026-04-30,1992,0.01337295690936107,0.00023562311132723814,0.010645543358708235,0.041211976975360276,0.16594759774314088,-0.42130623478734663
中证500ETF,510500.SH,china equity,2018-02-07,2026-04-30,1992,0.01337295690936107,0.00047659407197913023,0.011961544922782051,0.06449790071230299,0.18646203188948451,-0.3942614969790782
中证1000ETF,512100.SH,china equity,2018-02-08,2026-04-30,1991,0.013868251609707775,0.0006387320044130817,0.013736070862992701,0.06749057283263826,0.2141241536796285,-0.4634863481228668
创业板ETF,159915.SZ,china equity,2018-02-08,2026-04-30,1991,0.013868251609707775,0.0004874946395331769,0.0163355318248016,0.11140064423926832,0.25464573980293237,-0.5658465991316932
红利ETF,510880.SH,china equity dividend,2018-02-07,2026-04-30,1992,0.01337295690936107,0.00037411218043051543,0.009097474160929021,0.051822532158836365,0.14181558720546694,-0.20275824780818175
半导体ETF,512480.SH,china tech equity,2019-06-12,2026-04-30,1669,0.1733531451213472,0.0007588949862326015,0.020815530928376905,0.20075730196433628,0.32448201439023144,-0.6249188838416613
人工智能ETF,159819.SZ,china tech equity,2020-09-23,2026-04-30,1355,0.328875681030213,0.0002796650372754489,0.01782699261159645,0.1124542711075629,0.27789531254496036,-0.45210727969348663
机器人ETF,562500.SH,china advanced manufacturing,2021-12-29,2026-04-30,1049,0.4804358593363051,-9.751935181843406e-05,0.016866754629544047,0.01010401985118814,0.2629266837945108,-0.4541792547834844
新能源ETF,516160.SH,china new energy,2021-02-04,2026-04-30,1266,0.37295690936106984,-0.00010132645846171966,0.017806866083479683,0.009174071823482954,0.27758157102145653,-0.673066044029353
中韩半导体ETF,513310.SH,china tech equity,2022-12-22,2026-04-30,811,0.5983159980188212,0.0013797551575712736,0.016935990171769277,0.5512947278200919,0.2640059590859239,-0.22678951098511702
科创50ETF,588000.SH,china tech equity,2020-11-16,2026-04-30,1323,0.3447251114413076,-0.00020490734323021185,0.015552662830261743,0.022509740864996797,0.24244201993501183,-0.5964071856287425
云计算ETF,516980.SH,china tech equity,2021-06-24,2026-04-30,1173,0.41901931649331353,-0.000536134140684311,0.013085741652895286,0.010873723213545405,0.2039865245778148,-0.38731218697829717
证券ETF,512880.SH,china finance,2018-02-07,2026-04-30,1992,0.01337295690936107,-0.0004828717713778438,0.015448328591612734,0.014710442044344463,0.24081561011422992,-0.45000000000000007
军工ETF,512660.SH,china defense,2018-02-07,2026-04-30,1992,0.01337295690936107,0.0004090567230742485,0.017469010512048126,0.08485197914454812,0.2723149238833995,-0.5094850948509485
消费ETF,159928.SZ,china consumer,2018-02-08,2026-04-30,1992,0.01337295690936107,7.355121079658962e-05,0.013928462842094818,0.036512593931613546,0.2171232478245909,-0.5631535269709543
恒生ETF,159920.SZ,hong kong equity,2018-02-08,2026-04-30,1992,0.01337295690936107,0.00015024633009264382,0.012114008330746431,0.003493355330226766,0.18883870120948917,-0.45956112852664577
白银LOF,161226.SZ,commodity,2018-02-08,2026-04-30,1990,0.014363546310054482,0.00044527613377089707,0.01459018502026667,0.1558428729465564,0.22743847572239,-0.5361158757385172
纳指ETF,159941.SZ,global equity,2018-02-08,2026-04-30,1992,0.01337295690936107,0.000992972994485345,0.013294415562928534,0.19600080245693108,0.20723942890733957,-0.3109730848861284
