model,date,avg_pairwise_corr,avg_abs_corr,effective_cluster_count,largest_cluster_size_ratio,correlation_stress_score
Convex Adaptive Global RRP + Asset Graph Features,2018-02-28,0.0934809145943106,0.1376695849576648,11.0,0.2,0.05
Convex Adaptive Global RRP + Asset Graph Features,2018-03-30,0.09223336295829444,0.13174708054677586,11.0,0.2,0.05
Convex Adaptive Global RRP + Asset Graph Features,2018-04-27,0.09110805062729316,0.12796137762010124,12.0,0.2,0.05
Convex Adaptive Global RRP + Asset Graph Features,2018-05-31,0.09073926646743088,0.12773467817843395,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2018-06-29,0.08829649820428043,0.13026705980300163,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2018-07-31,0.09689433341243833,0.1360863117180498,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2018-08-31,0.0991692905877099,0.13267706158340842,10.0,0.3333333333333333,0.09999999999999999
Convex Adaptive Global RRP + Asset Graph Features,2018-09-28,0.09608484869129617,0.1301827123352434,10.0,0.3333333333333333,0.09999999999999999
Convex Adaptive Global RRP + Asset Graph Features,2018-10-31,0.09060916478793617,0.12417562584512998,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2018-11-30,0.09047472467097067,0.1220379070056616,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2018-12-28,0.08902060765354268,0.12431611490037515,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2019-01-31,0.094223733345857,0.13196808039451702,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2019-02-28,0.09741147355155193,0.14083467400569138,11.0,0.26666666666666666,0.075
Convex Adaptive Global RRP + Asset Graph Features,2019-03-29,0.09425513180469534,0.13461845192486713,11.0,0.26666666666666666,0.075
