model,asset_class,average_daily_contribution,annualized_return_contribution,share_of_average_portfolio_return
Global Relaxed Risk Parity,equity,9.88661632761247e-05,0.0240244776760983,0.5599311651598797
Global Relaxed Risk Parity,bond,1.2049587456527682e-05,0.0029280497519362267,0.0682431614685582
Global Relaxed Risk Parity,commodity_gold,1.7203644660440953e-05,0.004180485652487151,0.09743330256291534
Global Relaxed Risk Parity,defensive,7.621525924967334e-06,0.0018520307997670622,0.04316471632002493
Improved Convex Adaptive Global RRP,equity,6.838042419312022e-05,0.016616443078928216,0.3001819239228147
Improved Convex Adaptive Global RRP,bond,5.591459279009074e-05,0.013587246047992049,0.2454584076823975
Improved Convex Adaptive Global RRP,commodity_gold,6.823504718742773e-05,0.016581116466544938,0.29954373616984514
Improved Convex Adaptive Global RRP,defensive,1.1117776271350875e-05,0.0027016196339382627,0.04880571465090875
Convex Adaptive Global RRP,equity,0.00029243699346219074,0.07106218941131236,0.5802864640888352
Convex Adaptive Global RRP,bond,0.0,0.0,0.0
Convex Adaptive Global RRP,commodity_gold,0.0,0.0,0.0
Convex Adaptive Global RRP,defensive,0.00021151581529645365,0.05139834311703824,0.4197135359111648
Defensive Dynamic Relaxed Risk Parity,equity,0.00013261937093558574,0.032226507137347336,0.5291131098447466
Defensive Dynamic Relaxed Risk Parity,bond,2.284749144802314e-05,0.005551940421869623,0.09115491324481136
Defensive Dynamic Relaxed Risk Parity,commodity_gold,3.6483335210445416e-05,0.008865450456138237,0.14555800419294046
Defensive Dynamic Relaxed Risk Parity,defensive,8.272355333162623e-06,0.0020101823459585176,0.033004316226144664
