model,asset_class,annualized_volatility_contribution_approx,variance_share_approx,average_stress_drawdown_contribution
Global RRP,equity,0.0296082458628652,0.7619561358854928,-0.0002453967937526
Global RRP,bond,0.0003697535159366,0.0095154559827046,5.307596755061093e-06
Global RRP,commodity_gold,0.004449842613691,0.1145148854454456,-4.449459503522259e-06
Global RRP,defensive,0.004430360558047,0.114013522686357,-3.772377351326452e-05
Improved Convex Adaptive Global RRP,equity,0.0155544945856288,0.5386417221528923,-0.0003725820916758
Improved Convex Adaptive Global RRP,bond,0.0013017919934669,0.0450801842120774,2.83988759370852e-05
Improved Convex Adaptive Global RRP,commodity_gold,0.0086668574176855,0.3001274634425546,-0.0001295371681974
Improved Convex Adaptive Global RRP,defensive,0.0033541114142164,0.1161506301924756,-0.0001173227754932
Convex Adaptive Global RRP,equity,0.1072195159216856,0.6754207382801439,-0.000665560541496
Convex Adaptive Global RRP,bond,0.0,0.0,0.0
Convex Adaptive Global RRP,commodity_gold,0.0,0.0,0.0
Convex Adaptive Global RRP,defensive,0.0515252632136187,0.3245792617198563,-9.153116477573996e-05
Defensive Dynamic RRP,equity,0.0327933948079808,0.7359876403832012,-0.000194676857438
Defensive Dynamic RRP,bond,0.0003923004215193,0.0088044639247023,1.914133586008432e-05
Defensive Dynamic RRP,commodity_gold,0.0063798464610643,0.1431839603792145,-6.201283876057148e-05
Defensive Dynamic RRP,defensive,0.0049914494987257,0.112023935312882,-4.8819651641703686e-05
