candidate_id,candidate_name,selected,primary_selected,exploratory_selected,selection_score,sharpe,calmar,max_drawdown,cvar,annual_turnover,avg_monthly_turnover,turnover_penalty,cvar_penalty,cvar_limit,cvar_limit_multiplier,budget_penalty,max_weight,lookback_days,covariance_method,reject_reason,notes,lambda_cvar,lambda_turnover,return_reward,lambda_ref,lambda_budget,upper_bound_i,turnover_cap,portfolio_vol_cap,cvar_alpha,covariance_estimator,lookback_window,Sharpe,Calmar,CVaR_daily_loss,net_return,average_monthly_turnover,solver_fallback_rate,oos_selection_count
candidate_01,candidate_01,False,False,False,-98.96790209993588,0.7054127800390375,1.0387168582289044,-0.0483705099802632,0.0058840931175951,0.1757255426608982,0.0146322300699315,0.02,0.0,,,0.35,0.4,180,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.02,0.0,0.0,0.35,0.4,0.35,0.0,0.95,ewma,180,0.7054127800390375,1.0387168582289044,0.0058840931175951,0.0502432641576289,0.0146322300699315,0.0,0
candidate_02,candidate_02,False,False,False,-98.9535108588728,0.6798210391705451,1.047623148447585,-0.0456765016254591,0.0055604448130734,0.1156657070100567,0.0096311965269522,0.01,0.0,,,0.1,0.45,252,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.1,0.45,0.8,0.0,0.95,ewma,252,0.6798210391705451,1.047623148447585,0.0055604448130734,0.0478517604429347,0.0096311965269522,0.0,0
candidate_03,candidate_03,True,False,True,1.040323350709693,0.7027474011645339,0.9645027129861686,-0.0606432210510663,0.0075434203063999,0.1283926063951678,0.0106909338711081,0.02,0.0,,,0.25,0.4,252,ewma,,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.02,0.0,0.0,0.25,0.4,0.8,0.0,0.95,ewma,252,0.7027474011645339,0.9645027129861686,0.0075434203063999,0.0584905512279734,0.0106909338711081,0.0,35
candidate_04,candidate_04,False,False,False,-98.57388410190144,0.9822586779189184,1.3108017130746064,-0.0419916090240795,0.0048773786795453,0.1475531221645422,0.0122863824937199,0.02,0.02,,,0.25,0.4,252,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.02,0.02,0.0,0.0,0.25,0.4,0.8,0.0,0.95,ewma,252,0.9822586779189184,1.3108017130746064,0.0048773786795453,0.0550426730435225,0.0122863824937199,0.0,0
candidate_05,candidate_05,False,False,False,-98.08336033072904,1.2310452815187736,2.2561518425718585,-0.0218898554264451,0.0032360111366606,0.2619963568798565,0.021815786784894,0.02,0.05,,,0.25,0.4,252,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.05,0.02,0.0,0.0,0.25,0.4,0.8,0.0,0.95,ewma,252,1.2310452815187736,2.2561518425718585,0.0032360111366606,0.0493868376540058,0.021815786784894,0.0,0
candidate_06,candidate_06,False,False,False,-99.15469910198664,0.560504772143452,0.8137032167711818,-0.0588579841263854,0.0069338677692297,0.1093470911134724,0.0091050610538596,0.01,0.0,,,0.05,0.45,120,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.05,0.45,0.8,0.0,0.95,ewma,120,0.560504772143452,0.8137032167711818,0.0069338677692297,0.0478929310163069,0.0091050610538596,0.0,0
candidate_07,candidate_07,False,False,False,-98.97903250691633,0.6591499250310309,1.0457645392014598,-0.0451313985336921,0.0055863978588342,0.1337851223997594,0.0111399553032811,0.01,0.0,,,0.1,0.45,120,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.1,0.45,0.8,0.0,0.95,ewma,120,0.6591499250310309,1.0457645392014598,0.0055863978588342,0.047196816191104,0.0111399553032811,0.0,0
candidate_08,candidate_08,False,False,False,-99.18147658302242,0.5378893224999745,0.8018116985074417,-0.0581046092375229,0.0069028223247547,0.1044653220822694,0.0086985682553103,0.01,0.0,,,0.05,0.45,180,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.05,0.45,0.8,0.0,0.95,ewma,180,0.5378893224999745,0.8018116985074417,0.0069028223247547,0.0465889554238494,0.0086985682553103,0.0,0
candidate_09,candidate_09,False,False,False,-98.95339326288216,0.6788192555910189,1.0508213757909044,-0.0455729381521331,0.0055665111871763,0.1200386645063307,0.0099953218510378,0.01,0.0,,,0.1,0.45,180,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.1,0.45,0.8,0.0,0.95,ewma,180,0.6788192555910189,1.0508213757909044,0.0055665111871763,0.0478890175678583,0.0099953218510378,0.0,0
candidate_10,candidate_10,False,False,False,-99.18964555010726,0.5307094586182436,0.798985689355717,-0.0576624928930443,0.0068694474785174,0.1067927428223071,0.0088923668074279,0.01,0.0,,,0.05,0.45,252,ewma,net_return_deterioration,The public model uses AFML-inspired rolling OOS selection. Full-sample candidate metrics are exploratory diagnostics and never select the public historical path.,0.0,0.01,0.0,0.0,0.05,0.45,0.8,0.0,0.95,ewma,252,0.5307094586182436,0.798985689355717,0.0068694474785174,0.0460715066341181,0.0088923668074279,0.0,0
