model,date,solver_name,solver_status,objective_value,failure_reason,fallback_used,inaccurate_solution,covariance_method,covariance_annualized,covariance_trading_days,covariance_fallback_used,covariance_fallback_method,covariance_failure_note,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_number,covariance_point_in_time,covariance_psd_repaired,covariance_jitter_added,covariance_min_eigenvalue_before_repair,covariance_eigenvalue_floor,covariance_relative_floor,covariance_psd_notes,covariance_observations,covariance_assets,covariance_ewma_halflife,reference_solver_name,reference_solver_status,reference_problem_is_dcp,reference_covariance_scale,reference_max_risk_budget_error,ema_insufficient_history,ema_deviation_span,ema_valid_asset_count,group_bounds_point_in_time_relaxed,group_bounds_capacity_before_relaxation,effective_group_upper_bounds,cvar_effective_obs,cvar_total_obs,cvar_scale,cvar_limit_effective,cvar_active,cvar_inactive_reason,problem_is_dcp,final_turnover,predicted_volatility,final_cvar,final_max_risk_budget_error,reference_tracking_error,max_constraint_violation,group_exposure_defensive,group_exposure_equity,group_exposure_commodity_gold,group_exposure_bond,group_exposure_cash,inaccurate_ratio_overall,selected_candidate_id
Convex Adaptive Global RRP,2012-08-31,CLARABEL,optimal,0.005989596845086594,,False,False,ewma,True,243,False,,,0.0011656327588440009,0.07756223699887066,66.54088640730367,True,False,0.0,0.0011656327588439991,7.756223699887066e-08,1e-06,symmetrized,67,3,60.0,CLARABEL,optimal,True,0.07756223699887066,1.6885942637157036e-05,False,20,0,False,1.0499999999999998,defensive=1.00000000;equity=1.00000000,67,240,,,False,not_requested,True,0.0,0.14697866203233428,,0.11395866395512488,0.10435600644896126,0.0,0.349999999360897,0.6500000006391031,,,,0.0,
Convex Adaptive Global RRP,2012-09-28,CLARABEL,optimal,0.03228464110285275,,False,False,ewma,True,243,False,,,0.0014280349920290387,0.10165289278661829,71.18375484776021,True,False,0.0,0.0014280349920290365,1.0165289278661829e-07,1e-06,symmetrized,76,4,60.0,CLARABEL,optimal,True,0.10165289278661829,1.7339726650966725e-05,False,20,0,False,1.4,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,76,240,,,False,not_requested,True,0.3499999989041914,0.14821986674200704,,0.3155525043945415,0.21441099498931243,0.0,0.32238765686835874,0.5026123436795458,0.17499999945209552,,,0.0,
Convex Adaptive Global RRP,2012-10-31,CLARABEL,optimal,0.007657386226927535,,False,False,ewma,True,243,False,,,0.0013921664818233991,0.099170827841973,71.23489118347639,True,False,0.0,0.0013921664818233954,9.917082784197299e-08,1e-06,symmetrized,92,4,60.0,CLARABEL,optimal,True,0.099170827841973,1.2045218141132352e-05,False,20,0,False,1.4,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,92,240,,,False,not_requested,True,0.34999970666015634,0.15289931300905205,,0.05595249878259362,0.03457250861922224,0.0,0.27827758956998355,0.39919236002009084,0.32253005040992555,,,0.0,
Convex Adaptive Global RRP,2012-11-30,CLARABEL,optimal,0.00046462487669011435,,False,False,ewma,True,243,False,,,0.0014912735431538385,0.09533742390488588,63.93020538891901,True,False,0.0,0.0014912735431538472,9.533742390488588e-08,1e-06,symmetrized,113,4,60.0,CLARABEL,optimal,True,0.09533742390488588,1.1348529830146337e-05,False,20,0,False,1.4,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,113,240,,,False,not_requested,True,0.0038156632735272256,0.1474691328478694,,0.034638296726068774,0.026571057775487763,0.0,0.29024814858881004,0.3952417142306075,0.31451013718058246,,,0.0,
Convex Adaptive Global RRP,2012-12-31,CLARABEL,optimal,0.0020412231352517915,,False,False,ewma,True,243,False,,,0.0013009198788298335,0.0990781897755634,76.16010131591148,True,False,0.0,0.0013009198788298362,9.90781897755634e-08,1e-06,symmetrized,133,4,60.0,CLARABEL,optimal,True,0.0990781897755634,5.894696145675171e-06,False,20,0,False,1.4,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,133,240,,,False,not_requested,True,0.07478869921155262,0.15598882677118445,,0.05269168977262145,0.03149167714061309,2.220446049250313e-16,0.2597801239212571,0.4010381492422115,0.3391817268365315,,,0.0,
Convex Adaptive Global RRP,2013-01-31,CLARABEL,optimal,0.09038502579762298,,False,False,ewma,True,243,False,,,0.0012808518165835464,0.12050859126252704,94.08472526038425,True,False,0.0,0.0012808518165835466,1.2050859126252702e-07,1e-06,symmetrized,67,5,60.0,CLARABEL,optimal,True,0.12050859126252704,2.0055832791465722e-05,False,20,0,False,1.7,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,67,240,,,False,not_requested,True,0.3499999992544038,0.1441546474127089,,0.2711055129408512,0.38937018098587434,2.220446049250313e-16,0.17615162716985078,0.5260736321625571,0.2977747406675923,,,0.0,
Convex Adaptive Global RRP,2013-02-28,CLARABEL,optimal,0.026283635881448553,,False,False,ewma,True,243,False,,,0.0019214837471819032,0.1281814982121368,66.70964477328057,True,False,0.0,0.0019214837471818976,1.281814982121368e-07,1e-06,symmetrized,82,5,60.0,CLARABEL,optimal,True,0.1281814982121368,8.422748679126624e-06,False,20,0,False,1.7,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,82,240,,,False,not_requested,True,0.35000000010627264,0.13806487563775852,,0.16064809737493546,0.1872462446732236,1.0627265734086677e-10,0.1344916150574061,0.625792474156229,0.23971591078636498,,,0.0,
Convex Adaptive Global RRP,2013-03-29,CLARABEL,optimal,0.013508702725196522,,False,False,ewma,True,243,False,,,0.0020003815706928006,0.15598470913505527,77.97747760745088,True,False,0.0,0.0020003815706928175,1.5598470913505515e-07,1e-06,symmetrized,102,5,60.0,CLARABEL,optimal,True,0.15598470913505527,1.440678860559208e-05,False,20,0,False,1.7,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,102,240,,,False,not_requested,True,0.03134303272071391,0.1517224100405047,,0.1356018718897353,0.15304094562497295,0.0,0.12431743109059322,0.6263965874682408,0.24928598144116598,,,0.0,
Convex Adaptive Global RRP,2013-04-26,CLARABEL,optimal,0.011619705101800505,,False,False,ewma,True,243,False,,,0.002182354050420547,0.15843949853067024,72.6002723985773,True,False,0.0,0.0021823540504205506,1.5843949853067023e-07,1e-06,symmetrized,119,5,60.0,CLARABEL,optimal,True,0.15843949853067024,1.399381659883403e-05,False,20,0,False,1.7,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,119,240,,,False,not_requested,True,0.0013425187442801662,0.15422674817934612,,0.13138155772026494,0.14518236010376678,2.220446049250313e-16,0.12335453720546655,0.6291969991685948,0.24744846362593878,,,0.0,
Convex Adaptive Global RRP,2013-05-31,CLARABEL,optimal,0.012419049692694688,,False,False,ewma,True,243,False,,,0.002392098596595273,0.13989830418250657,58.48350247001814,True,False,0.0,0.002392098596595268,1.3989830418250655e-07,1e-06,symmetrized,139,5,60.0,CLARABEL,optimal,True,0.13989830418250657,7.061171585776016e-06,False,20,0,False,1.7,commodity_gold=1.00000000;defensive=1.00000000;equity=1.00000000,139,240,,,False,not_requested,True,0.03918633546746618,0.14611928472557853,,0.13626783640342088,0.14544804122775792,0.0,0.12157381097565907,0.6257885858524778,0.25263760317186323,,,0.0,
