rebalance_date,available_assets,total_assets,missing_assets,coverage_ratio,window_start,window_end
2018-01-31,0,30,30,0.0,,
2018-02-28,0,30,30,0.0,2018-01-31,2018-02-27
2018-03-30,0,30,30,0.0,2018-01-31,2018-03-29
2018-04-27,0,30,30,0.0,2018-01-31,2018-04-26
2018-05-31,12,30,18,0.4,2018-01-31,2018-05-30
2018-06-29,12,30,18,0.4,2018-01-31,2018-06-28
2018-07-31,12,30,18,0.4,2018-01-31,2018-07-30
2018-08-31,12,30,18,0.4,2018-01-31,2018-08-30
2018-09-28,12,30,18,0.4,2018-01-31,2018-09-27
2018-10-31,12,30,18,0.4,2018-01-31,2018-10-30
2018-11-30,12,30,18,0.4,2018-01-31,2018-11-29
2018-12-28,12,30,18,0.4,2018-01-31,2018-12-27
2019-01-31,12,30,18,0.4,2018-02-05,2019-01-30
2019-02-28,12,30,18,0.4,2018-03-05,2019-02-27
2019-03-29,12,30,18,0.4,2018-04-03,2019-03-28
2019-04-30,12,30,18,0.4,2018-05-08,2019-04-29
2019-05-31,12,30,18,0.4,2018-06-05,2019-05-30
2019-06-28,12,30,18,0.4,2018-07-03,2019-06-27
2019-07-31,13,30,17,0.43333333333333335,2018-08-03,2019-07-30
2019-08-30,13,30,17,0.43333333333333335,2018-09-04,2019-08-29
2019-09-30,15,30,15,0.5,2018-10-10,2019-09-27
2019-10-31,15,30,15,0.5,2018-11-05,2019-10-30
2019-11-29,15,30,15,0.5,2018-12-04,2019-11-28
2019-12-31,15,30,15,0.5,2019-01-07,2019-12-30
2020-01-23,15,30,15,0.5,2019-01-29,2020-01-22
2020-02-28,15,30,15,0.5,2019-03-05,2020-02-27
2020-03-31,16,30,14,0.5333333333333333,2019-04-04,2020-03-30
2020-04-30,17,30,13,0.5666666666666667,2019-05-09,2020-04-29
2020-05-29,18,30,12,0.6,2019-06-04,2020-05-28
2020-06-30,19,30,11,0.6333333333333333,2019-07-03,2020-06-29
2020-07-31,20,30,10,0.6666666666666666,2019-08-05,2020-07-30
2020-08-31,20,30,10,0.6666666666666666,2019-09-03,2020-08-28
2020-09-30,20,30,10,0.6666666666666666,2019-10-11,2020-09-29
2020-10-30,20,30,10,0.6666666666666666,2019-11-04,2020-10-29
2020-11-30,20,30,10,0.6666666666666666,2019-12-03,2020-11-27
2020-12-31,22,30,8,0.7333333333333333,2020-01-06,2020-12-30
