date,n_obs_to_n_assets_ratio,low_sample_warning,ill_conditioned_warning,covariance_method,covariance_annualized,covariance_trading_days,covariance_fallback_used,covariance_fallback_method,covariance_failure_note,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_number,covariance_point_in_time,covariance_psd_repaired,covariance_jitter_added,covariance_min_eigenvalue_before_repair,covariance_eigenvalue_floor,covariance_relative_floor,covariance_psd_notes,covariance_shrinkage,covariance_observations,covariance_assets,covariance_ewma_halflife
2018-01-05,4.944444444444445,False,False,ledoit_wolf,True,252,False,,,0.0023615137908264,0.1016601505516054,43.04872194543834,True,False,0.0,0.0023615137908264,1.0166015055160535e-07,1e-06,symmetrized,0.1335531871200281,89,18,
2018-01-12,5.222222222222222,False,False,ledoit_wolf,True,252,False,,,0.0022511646179414,0.0973505509056724,43.24452780121111,True,False,0.0,0.0022511646179414,9.735055090567243e-08,1e-06,symmetrized,0.1311157030094916,94,18,
2018-01-19,5.5,False,False,ledoit_wolf,True,252,False,,,0.0020984109329596,0.1018122574560664,48.51874142328605,True,False,0.0,0.0020984109329596,1.0181225745606659e-07,1e-06,symmetrized,0.1196138456237311,99,18,
2018-01-26,5.777777777777778,False,False,ledoit_wolf,True,252,False,,,0.0020307846845543,0.1037303414179426,51.07894608763265,True,False,0.0,0.0020307846845543,1.0373034141794269e-07,1e-06,symmetrized,0.111948810520236,104,18,
2018-02-02,6.055555555555555,False,False,ledoit_wolf,True,252,False,,,0.0018498629837608,0.1181346439600613,63.86129405102762,True,False,0.0,0.0018498629837608,1.181346439600615e-07,1e-06,symmetrized,0.0961554721316956,109,18,
2018-02-09,6.333333333333333,False,False,ledoit_wolf,True,252,False,,,0.0043629067684379,0.1494222540078384,34.24832615924471,True,False,0.0,0.0043629067684378,1.4942225400783854e-07,1e-06,symmetrized,0.1859219896836672,114,18,
2018-02-14,6.5,False,False,ledoit_wolf,True,252,False,,,0.0042041121495521,0.1938718167252803,46.11480612997783,True,False,0.0,0.0042041121495521,1.9387181672528009e-07,1e-06,symmetrized,0.1585694984063616,117,18,
2018-02-23,6.611111111111111,False,False,ledoit_wolf,True,252,False,,,0.0040440278829727,0.1989782720489264,49.20299211751743,True,False,0.0,0.0040440278829726,1.9897827204892645e-07,1e-06,symmetrized,0.1514375646865986,119,18,
2018-03-02,6.888888888888889,False,False,ledoit_wolf,True,252,False,,,0.0038217240031992,0.2030095947979464,53.11989945584829,True,False,0.0,0.0038217240031992,2.030095947979464e-07,1e-06,symmetrized,0.1412509026210595,124,18,
2018-03-09,7.166666666666667,False,False,ledoit_wolf,True,252,False,,,0.0035924564587884,0.2024210769062374,56.34614621731709,True,False,0.0,0.0035924564587883,2.024210769062373e-07,1e-06,symmetrized,0.1342362935829431,129,18,
