holding_month,as_of_date,model,selected_candidate_id,etf,ticker,asset_class,weight,weight_pct
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,日利ETF,511880.SH,money market,0.7994381049,79.9438104883
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,信用债ETF,511030.SH,credit bond,0.0543760688,5.4376068771
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,5年国债ETF,511010.SH,government bond,0.0372423899,3.7242389912
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,10年国债ETF,511260.SH,government bond,0.0256163292,2.5616329171
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,标普500ETF,513500.SH,global equity,0.0075017006,0.7501700616
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,纳指ETF,159941.SZ,global equity,0.0074581217,0.7458121683
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,红利ETF,510880.SH,china equity dividend,0.0070763598,0.7076359837
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,原油ETF,162411.SZ,commodity,0.0066974452,0.6697445230
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,恒生ETF,159920.SZ,hong kong equity,0.0065653343,0.6565334343
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,欧洲ETF,513030.SH,global equity,0.0065282056,0.6528205607
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,沪深300ETF,510300.SH,china equity,0.0059929494,0.5992949372
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,创业板ETF,159915.SZ,china equity,0.0058600794,0.5860079438
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,黄金ETF,518880.SH,commodity,0.0057940929,0.5794092878
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,中证500ETF,510500.SH,china equity,0.0056081226,0.5608122584
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,证券ETF,512880.SH,china finance,0.0055790463,0.5579046263
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,军工ETF,512660.SH,china defense,0.0047291576,0.4729157623
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,消费ETF,159928.SZ,china consumer,0.0037152857,0.3715285731
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,白银LOF,161226.SZ,commodity,0.0027033840,0.2703383967
2026-09,2026-08-31,Improved Convex Adaptive Global RRP,candidate_03,中证1000ETF,512100.SH,china equity,0.0015178221,0.1517822091
