parameter,mean,std,min,max,switch_count
lambda_pen,0.6534536082474227,0.5023669811630602,0.055,1.45,55
m,2.092783505154639,0.47669596850797114,1.45,2.75,55
bond_leverage_upper,1.4886597938144333,0.1442482586981801,1.2999999999999998,1.7000000000000002,53
drawdown_scale,0.8969072164948454,0.1721213284814321,0.5,1.0,11
vol_scalar,0.7803978180509958,0.18799475632393775,0.39617584648570175,1.0,73
trend_scalar,1.0,0.0,1.0,1.0,0
final_risk_scalar,0.6939062641634322,0.190841719446855,0.20073719297169051,1.0,76
reentry_state,0.6939062641634322,0.190841719446855,0.20073719297169051,1.0,76
gross_exposure,0.6873707340851147,0.18470473701805976,0.25,1.0000471206647537,93
turnover_cap_binding_frequency,0.4639175257731959,0.5012870034160218,0.0,1.0,31
