asset,eligible_weeks,held_eligible_weeks,max_eligible_weight,ever_used
可转债ETF,316,274,0.0649435551229428,True
5年国债ETF,444,444,0.2352897529296495,True
10年国债ETF,444,444,0.2028648503733026,True
信用债ETF,369,369,0.1865066460011182,True
日利ETF,444,444,0.2597475408722979,True
沪深300ETF,444,335,0.0724330380078125,True
中证500ETF,444,282,0.0883232149872506,True
中证1000ETF,444,277,0.1143528693188867,True
中证2000ETF,140,76,0.1419430515490066,True
创业板ETF,444,264,0.1965595273423667,True
红利ETF,444,354,0.1313351467968635,True
半导体ETF,359,215,0.1429469359876712,True
人工智能ETF,292,175,0.1611337117324703,True
新能源ETF,272,129,0.1274239959259799,True
科创50ETF,285,181,0.0870191619034037,True
证券ETF,444,255,0.1819085769149392,True
军工ETF,444,274,0.1430992628281109,True
消费ETF,444,341,0.186363409487232,True
恒生ETF,444,274,0.1353415288433089,True
白银LOF,444,314,0.1707304963461493,True
纳指ETF,444,387,0.129154217544502,True
标普500ETF,444,392,0.1290658752176932,True
日经225ETF,357,286,0.1408165640128119,True
欧洲ETF,444,365,0.1378276420750563,True
黄金ETF,444,413,0.2299026856478702,True
有色金属期货ETF,331,265,0.1603494368257899,True
能源化工期货ETF,327,232,0.1662899033910742,True
豆粕ETF,333,297,0.1222556926744692,True
煤炭ETF,321,184,0.1840838348860038,True
原油ETF,444,281,0.1035537196991178,True
