rebalance_date,information_cutoff,holding_period_end,ticker,asset,asset_class,pretrade_weight,target_weight,weight_change,absolute_trade_weight,transaction_cost
2018-01-05,2018-01-04,2018-01-11,511380.SH,可转债ETF,convertible bond,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,511010.SH,5年国债ETF,government bond,0.1531045483527311,0.1344423286097243,-0.018662219743006803,0.018662219743006803,5.59866592290204e-06
2018-01-05,2018-01-04,2018-01-11,511260.SH,10年国债ETF,government bond,0.1689833488985329,0.130091125976569,-0.0388922229219639,0.0388922229219639,1.1667666876589168e-05
2018-01-05,2018-01-04,2018-01-11,511030.SH,信用债ETF,credit bond,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,511880.SH,日利ETF,money market,0.1667112398328642,0.1563498868165849,-0.010361353016279301,0.010361353016279301,3.10840590488379e-06
2018-01-05,2018-01-04,2018-01-11,510300.SH,沪深300ETF,china equity,0.0102680399656078,0.0176622838540719,0.007394243888464101,0.007394243888464101,2.21827316653923e-06
2018-01-05,2018-01-04,2018-01-11,510500.SH,中证500ETF,china equity,0.0078159217018961,0.0009725357852795,-0.0068433859166166,0.0068433859166166,2.05301577498498e-06
2018-01-05,2018-01-04,2018-01-11,512100.SH,中证1000ETF,china equity,0.0134027100997306,2.1249777650608363e-08,-0.01340268884995295,0.01340268884995295,4.020806654985885e-06
2018-01-05,2018-01-04,2018-01-11,563300.SH,中证2000ETF,china equity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,159915.SZ,创业板ETF,china equity,0.0041297846836739,1.0316105089919496e-08,-0.00412977436756881,0.00412977436756881,1.2389323102706427e-06
2018-01-05,2018-01-04,2018-01-11,510880.SH,红利ETF,china equity dividend,0.0437740832798195,0.0500157456407847,0.006241662360965204,0.006241662360965204,1.872498708289561e-06
2018-01-05,2018-01-04,2018-01-11,512480.SH,半导体ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,159819.SZ,人工智能ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,516160.SH,新能源ETF,china new energy,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,588000.SH,科创50ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,512880.SH,证券ETF,china finance,0.0103492409585844,2.2262485565553284e-09,-0.010349238732335843,0.010349238732335843,3.104771619700753e-06
2018-01-05,2018-01-04,2018-01-11,512660.SH,军工ETF,china defense,0.0166968077116863,9.686570703699949e-09,-0.016696798025115596,0.016696798025115596,5.009039407534679e-06
2018-01-05,2018-01-04,2018-01-11,159928.SZ,消费ETF,china consumer,0.0181383188966053,0.073728201328198,0.0555898824315927,0.0555898824315927,1.667696472947781e-05
2018-01-05,2018-01-04,2018-01-11,159920.SZ,恒生ETF,hong kong equity,0.0236851292029886,0.0506815286755311,0.0269963994725425,0.0269963994725425,8.098919841762749e-06
2018-01-05,2018-01-04,2018-01-11,161226.SZ,白银LOF,commodity,0.064151963800113,0.0406704778247404,-0.0234814859753726,0.0234814859753726,7.044445792611779e-06
2018-01-05,2018-01-04,2018-01-11,159941.SZ,纳指ETF,global equity,0.0592841388711708,0.0737688109372123,0.014484672066041496,0.014484672066041496,4.3454016198124486e-06
2018-01-05,2018-01-04,2018-01-11,513500.SH,标普500ETF,global equity,0.0559381233215225,0.0604537097409558,0.004515586419433296,0.004515586419433296,1.3546759258299887e-06
2018-01-05,2018-01-04,2018-01-11,513880.SH,日经225ETF,global equity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,513030.SH,欧洲ETF,global equity,0.0534467981095373,0.0427792982905489,-0.010667499818988402,0.010667499818988402,3.2002499456965204e-06
2018-01-05,2018-01-04,2018-01-11,518880.SH,黄金ETF,commodity,0.1055610115994292,0.0900420719057602,-0.015518939693668993,0.015518939693668993,4.655681908100697e-06
2018-01-05,2018-01-04,2018-01-11,159980.SZ,有色金属期货ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,159981.SZ,能源化工期货ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,159985.SZ,豆粕ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,515220.SH,煤炭ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-05,2018-01-04,2018-01-11,162411.SZ,原油ETF,commodity,0.0245587907135122,0.0783419511353405,0.05378316042182829,0.05378316042182829,1.6134948126548486e-05
2018-01-12,2018-01-11,2018-01-18,511380.SH,可转债ETF,convertible bond,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,511010.SH,5年国债ETF,government bond,0.1335222424115575,0.1308437463421555,-0.0026784960694019866,0.0026784960694019866,8.035488208205959e-07
2018-01-12,2018-01-11,2018-01-18,511260.SH,10年国债ETF,government bond,0.1286645883556743,0.1215766779568828,-0.007087910398791489,0.007087910398791489,2.1263731196374466e-06
2018-01-12,2018-01-11,2018-01-18,511030.SH,信用债ETF,credit bond,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,511880.SH,日利ETF,money market,0.1552487510868787,0.1530481062440611,-0.002200644842817595,0.002200644842817595,6.601934528452784e-07
2018-01-12,2018-01-11,2018-01-18,510300.SH,沪深300ETF,china equity,0.0178757682353827,0.0259794140200073,0.008103645784624601,0.008103645784624601,2.43109373538738e-06
2018-01-12,2018-01-11,2018-01-18,510500.SH,中证500ETF,china equity,0.0009687153233404,9.7155761894652e-09,-0.0009687056077642105,0.0009687056077642105,2.9061168232926314e-07
2018-01-12,2018-01-11,2018-01-18,512100.SH,中证1000ETF,china equity,2.115722830499847e-08,1.864853891043569e-09,-1.9292374413954903e-08,1.9292374413954903e-08,5.787712324186471e-12
2018-01-12,2018-01-11,2018-01-18,563300.SH,中证2000ETF,china equity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,159915.SZ,创业板ETF,china equity,1.0295139319000685e-08,8.402292557807533e-10,-9.45491006321993e-09,9.45491006321993e-09,2.836473018965979e-12
2018-01-12,2018-01-11,2018-01-18,510880.SH,红利ETF,china equity dividend,0.0505431971968184,0.0588970538529865,0.008353856656168099,0.008353856656168099,2.5061569968504292e-06
2018-01-12,2018-01-11,2018-01-18,512480.SH,半导体ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,159819.SZ,人工智能ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,516160.SH,新能源ETF,china new energy,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,588000.SH,科创50ETF,china tech equity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,512880.SH,证券ETF,china finance,2.2315826783419e-09,2.0785497504468142e-10,-2.0237277032972185e-09,2.0237277032972185e-09,6.071183109891655e-13
2018-01-12,2018-01-11,2018-01-18,512660.SH,军工ETF,china defense,9.509020115257008e-09,3.2409741051868747e-10,-9.18492270473832e-09,9.18492270473832e-09,2.755476811421496e-12
2018-01-12,2018-01-11,2018-01-18,159928.SZ,消费ETF,china consumer,0.0761700861526123,0.0815867956798202,0.005416709527207908,0.005416709527207908,1.6250128581623724e-06
2018-01-12,2018-01-11,2018-01-18,159920.SZ,恒生ETF,hong kong equity,0.0509948294546163,0.0485631134923847,-0.002431715962231601,0.002431715962231601,7.295147886694803e-07
2018-01-12,2018-01-11,2018-01-18,161226.SZ,白银LOF,commodity,0.0403494626478881,0.0383592405597269,-0.0019902220881612004,0.0019902220881612004,5.970666264483601e-07
2018-01-12,2018-01-11,2018-01-18,159941.SZ,纳指ETF,global equity,0.0745736557772629,0.0834061856592969,0.008832529882034007,0.008832529882034007,2.649758964610202e-06
2018-01-12,2018-01-11,2018-01-18,513500.SH,标普500ETF,global equity,0.0607436217358133,0.0667867923206325,0.0060431705848192074,0.0060431705848192074,1.8129511754457622e-06
2018-01-12,2018-01-11,2018-01-18,513880.SH,日经225ETF,global equity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,513030.SH,欧洲ETF,global equity,0.0426001508952202,0.0359694100028357,-0.006630740892384503,0.006630740892384503,1.9892222677153506e-06
2018-01-12,2018-01-11,2018-01-18,518880.SH,黄金ETF,commodity,0.089929855861272,0.0943065497478411,0.004376693886569097,0.004376693886569097,1.313008165970729e-06
2018-01-12,2018-01-11,2018-01-18,159980.SZ,有色金属期货ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,159981.SZ,能源化工期货ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,159985.SZ,豆粕ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,515220.SH,煤炭ETF,commodity,0.0,0.0,0.0,0.0,0.0
2018-01-12,2018-01-11,2018-01-18,162411.SZ,原油ETF,commodity,0.0778150316726961,0.0606769011687607,-0.017138130503935402,0.017138130503935402,5.14143915118062e-06
2018-01-19,2018-01-18,2018-01-25,511380.SH,可转债ETF,convertible bond,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018-01-18,2018-01-25,511010.SH,5年国债ETF,government bond,0.1297214230356767,0.1323202286557142,0.002598805620037503,0.002598805620037503,7.796416860112509e-07
2018-01-19,2018-01-18,2018-01-25,511260.SH,10年国债ETF,government bond,0.1206574016359042,0.1279899181289617,0.007332516493057509,0.007332516493057509,2.1997549479172522e-06
2018-01-19,2018-01-18,2018-01-25,511030.SH,信用债ETF,credit bond,0.0,0.0,0.0,0.0,0.0
2018-01-19,2018-01-18,2018-01-25,511880.SH,日利ETF,money market,0.1520545800825955,0.1571588683981673,0.005104288315571803,0.005104288315571803,1.5312864946715408e-06
2018-01-19,2018-01-18,2018-01-25,510300.SH,沪深300ETF,china equity,0.0262365737835719,0.02548053312244,-0.0007560406611319022,0.0007560406611319022,2.2681219833957065e-07
