model,covariance_setting,period,start,end,cumulative_return,max_drawdown,annualized_volatility,cvar_95_daily_loss
Convex Adaptive Global RRP,baseline_ewma,covid_2020Q1,2020-01-20,2020-04-30,0.06547099097421749,-0.15668281754980096,0.26704202485313555,0.03973060593601481
Convex Adaptive Global RRP,baseline_ewma,selloff_2022,2022-01-01,2022-10-31,-0.14794210759592685,-0.17001134499690407,0.19233992141449566,0.029335087778992953
Convex Adaptive Global RRP,baseline_ewma,ashare_bottom_2024,2024-01-01,2024-02-09,-0.008428019234007045,-0.07424524633083063,0.20943361670371288,0.023397832837814964
Convex Adaptive Global RRP,regime_conditional,covid_2020Q1,2020-01-20,2020-04-30,0.06547099097421749,-0.15668281754980096,0.26704202485313555,0.03973060593601481
Convex Adaptive Global RRP,regime_conditional,selloff_2022,2022-01-01,2022-10-31,-0.14794210759592685,-0.17001134499690407,0.19233992141449566,0.029335087778992953
Convex Adaptive Global RRP,regime_conditional,ashare_bottom_2024,2024-01-01,2024-02-09,-0.008428019234007045,-0.07424524633083063,0.20943361670371288,0.023397832837814964
Improved Convex Adaptive Global RRP,baseline_ewma,covid_2020Q1,2020-01-20,2020-04-30,0.02081206893983012,-0.038142518428033845,0.05168810567296642,0.0067343329789242
Improved Convex Adaptive Global RRP,baseline_ewma,selloff_2022,2022-01-01,2022-10-31,0.008263908661583219,-0.015388937390150903,0.031158587865762824,0.00469054828053478
Improved Convex Adaptive Global RRP,baseline_ewma,ashare_bottom_2024,2024-01-01,2024-02-09,0.0017973010321146177,-0.008986819651955913,0.027145778369803423,0.0032244495641245464
Improved Convex Adaptive Global RRP,regime_conditional,covid_2020Q1,2020-01-20,2020-04-30,0.01883638849029201,-0.036413811113674366,0.05062363961560936,0.00647482760653394
Improved Convex Adaptive Global RRP,regime_conditional,selloff_2022,2022-01-01,2022-10-31,0.005888287135096482,-0.014477550036156805,0.03255519620270215,0.004826535711856505
Improved Convex Adaptive Global RRP,regime_conditional,ashare_bottom_2024,2024-01-01,2024-02-09,0.0014017315329883928,-0.008123591554084153,0.0264050015229767,0.0031405871054227727
