window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover,case,fallback_rate,lookback_days,lambda_cvar,lambda_turnover,lambda_ref,lambda_budget,upper_bound_i,diagnostic_scope,candidate_reselection
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0585070134646015,0.0287958930370749,1.2718963068581446,-0.0382693081646232,1.5288233906116522,0.0040466004726105,0.0195105345922965,0.2345339136148658,public_schedule_baseline,0.0,252,0.15,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.058364032690005,0.0288491294176475,1.2649166185191243,-0.0383886211154266,1.520347201701162,0.0040556002196963,0.0196866067155366,0.2366504565494853,lambda_cvar_0.75x,0.0,252,0.1124999999999999,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0585472919690057,0.02874701674151,1.275334448135076,-0.0381637250809271,1.534108419575258,0.0040392923789361,0.0194163707593714,0.2334019809067992,lambda_cvar_1.25x,0.0,252,0.1875,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.058298388079345,0.029365383491676,1.2410767849450068,-0.0378704052392595,1.539418121116597,0.0041409701847607,0.0254980598311626,0.3065092723881464,lambda_turnover_0.75x,0.0,252,0.15,0.015,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0565908302874027,0.0283131450945144,1.2290550436648728,-0.0384880107784976,1.4703495749127873,0.0039622036033523,0.0165149771716094,0.198524659126822,lambda_turnover_1.25x,0.0,252,0.15,0.025,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0564284182800518,0.0286116001280881,1.2111547236078195,-0.0397248015810984,1.4204833261370182,0.0040125573592894,0.0175732172626047,0.2112456427016782,lambda_ref_0.75x,0.0,252,0.15,0.02,0.045,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0583176993608631,0.0290943041124151,1.2529957824132598,-0.0381703108407838,1.527828777819448,0.0041046674221163,0.0230901513310391,0.2775640786268517,lambda_ref_1.25x,0.0,252,0.15,0.02,0.075,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0578008195001147,0.0284170299742923,1.2649703560996453,-0.0373980627479656,1.5455565142410737,0.0039870073610298,0.0180827238506855,0.2173703633519434,lambda_budget_0.75x,0.0,252,0.15,0.02,0.06,0.1875,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0584259991886795,0.0291920060161885,1.252407068596357,-0.0387316260717803,1.5084829921780212,0.004096674953837,0.0213067745911574,0.2561263100062358,lambda_budget_1.25x,0.0,252,0.15,0.02,0.06,0.3125,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.058662937781954,0.0287946985338072,1.2770667930822928,-0.0382689922995724,1.5329104388936166,0.0040435512755013,0.0195557367440672,0.2350772835316895,upper_bound_i_-0.05,0.0,252,0.15,0.02,0.06,0.25,0.35,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0585109170972035,0.0287859189432694,1.2724552647402485,-0.0382423839133676,1.530001822840104,0.0040449670087269,0.0194656574283229,0.233994450339328,upper_bound_i_+0.05,0.0,252,0.15,0.02,0.06,0.25,0.45,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0595884094033152,0.0293358792392171,1.2838518514899304,-0.0401581248692606,1.4838444174699918,0.004130980574561,0.0243821656512311,0.2930952355783761,lookback_180,0.0,180,0.15,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0588852936435919,0.0289128761193445,1.2792337698476344,-0.0382534612246323,1.5393455064838486,0.0040612450080247,0.0203332540471963,0.2444237304546833,lookback_240,0.0,240,0.15,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.0585070134646015,0.0287958930370749,1.2718963068581446,-0.0382693081646232,1.5288233906116522,0.0040466004726105,0.0195105345922965,0.2345339136148658,lookback_252,0.0,252,0.15,0.02,0.06,0.25,0.4,published_afml_oos_selection_schedule_held_constant,False
