window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover
full_available_sample,Global Relaxed Risk Parity,2007-01-19,2026-08-28,4703,0.04408451060424956,0.03888103592612676,0.51269764434695,-0.0638517493329277,0.6904197780767085,0.006254669901256382,0.1799607136927253,2.1662384526740994
pre_2020,Global Relaxed Risk Parity,2007-01-19,2019-12-31,3089,0.040423054535529745,0.035443035593463824,0.37913576808804367,-0.05846043214910546,0.6914600705042562,0.0055374247120250535,0.15018156180197778,1.8095147409420367
2020_2021,Global Relaxed Risk Parity,2020-01-02,2021-12-31,486,0.10116899504435461,0.063039595815935,1.2048397866911682,-0.06385174933292725,1.5844357609820956,0.008963124622389068,0.25,3.006172839506173
post_2021,Global Relaxed Risk Parity,2022-01-04,2026-08-28,1128,0.029069424372661468,0.03386840041443489,0.36990759588244215,-0.052823440082670814,0.5503129733157599,0.006170878813948212,0.2329000855424041,2.8071528283349045
post_2022,Global Relaxed Risk Parity,2023-01-03,2026-08-28,886,0.04300210051299591,0.03144157124214353,0.847879097578422,-0.038199398286119846,1.1257271695984064,0.005464993069412608,0.22828800014128034,2.752300412806089
rolling_36m_2007-01-01_2009-12-31,Global Relaxed Risk Parity,2007-01-19,2009-12-31,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2008-01-01_2010-12-31,Global Relaxed Risk Parity,2008-01-02,2010-12-31,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2009-01-01_2011-12-31,Global Relaxed Risk Parity,2009-01-05,2011-12-30,719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rolling_36m_2010-01-01_2012-12-31,Global Relaxed Risk Parity,2010-01-04,2012-12-31,727,-0.004277129928235257,0.023768671692475086,-1.2507361372054588,-0.05846043214910546,-0.07316281749895864,0.004088889979939475,0.06944444444444445,0.836195054945055
rolling_36m_2011-01-01_2013-12-31,Global Relaxed Risk Parity,2011-01-04,2013-12-31,725,0.022234464055036707,0.038870468322691996,-0.18885191310402658,-0.05846043214910546,0.3803335561791076,0.005836038112063104,0.1527777777777778,1.839629120879121
rolling_36m_2012-01-01_2014-12-31,Global Relaxed Risk Parity,2012-01-04,2014-12-31,726,0.04718337604255973,0.04623687357407481,0.35026087682920237,-0.05846043214910546,0.807099337244323,0.006577844195716274,0.2361111111111111,2.843063186813187
rolling_36m_2013-01-01_2015-12-31,Global Relaxed Risk Parity,2013-01-04,2015-12-31,727,0.1158652503591564,0.05391847315093487,1.4961976361255742,-0.05469553819758388,2.1183674971914734,0.007262884760958944,0.25,3.0130614115490375
rolling_36m_2014-01-01_2016-12-31,Global Relaxed Risk Parity,2014-01-02,2016-12-30,733,0.1001612307049653,0.05066243672455832,1.3737692568243303,-0.05469553819758366,1.8312504823179567,0.0070684343776411555,0.25,3.0075480329368713
rolling_36m_2015-01-01_2017-12-31,Global Relaxed Risk Parity,2015-01-05,2017-12-29,732,0.1019659855597983,0.05101617180927425,1.4151204315099812,-0.05469553819758355,1.8642468640029428,0.006950215194448607,0.2480089900307926,2.9945548300412232
rolling_36m_2016-01-01_2018-12-31,Global Relaxed Risk Parity,2016-01-04,2018-12-28,731,0.046088410653353895,0.04078923077006333,0.43789688123824116,-0.03331295308129267,1.3834982008615575,0.006128452339144595,0.2480089900307926,2.9945548300412232
rolling_36m_2017-01-01_2019-12-31,Global Relaxed Risk Parity,2017-01-03,2019-12-31,731,0.04944075252962987,0.03491869347622739,0.5658089315419684,-0.03331295308129256,1.4841299841830637,0.005135660055253875,0.2480089900307926,2.9863280310575937
rolling_36m_2018-01-01_2020-12-31,Global Relaxed Risk Parity,2018-01-02,2020-12-31,730,0.06919900808598789,0.04662820567367846,0.9074256694785168,-0.0638517493329277,1.0837449061133657,0.007303119984069724,0.25,3.004798903107861
rolling_36m_2019-01-01_2021-12-31,Global Relaxed Risk Parity,2019-01-02,2021-12-31,730,0.08959606168381407,0.052955105560647045,1.2039633180286176,-0.0638517493329277,1.4031888338196286,0.008005922948827246,0.25,3.004798903107861
rolling_36m_2020-01-01_2022-12-31,Global Relaxed Risk Parity,2020-01-02,2022-12-30,728,0.059332413665738715,0.05686098787415986,0.664445959793845,-0.06385174933292725,0.9292214275348287,0.008733400187923955,0.24993702178217492,3.00679039287632
rolling_36m_2021-01-01_2023-12-31,Global Relaxed Risk Parity,2021-01-04,2023-12-29,727,0.019314898151066906,0.040376750556026485,-0.033280178096262235,-0.05763563152458451,0.33512078622454455,0.006962587921817585,0.2474104733679644,2.9873281123189748
rolling_36m_2022-01-01_2024-12-31,Global Relaxed Risk Parity,2022-01-04,2024-12-31,726,0.006324915189920288,0.024444946191091516,-0.4964055169034043,-0.052823440082670814,0.11973690429895405,0.004575675831703478,0.22340013306596193,2.6900076462310745
rolling_36m_2023-01-01_2025-12-31,Global Relaxed Risk Parity,2023-01-03,2025-12-31,727,0.038684310310762804,0.017537303567622616,1.2158945314942908,-0.020849066908714353,1.85544564081157,0.0025632446496123276,0.22346311128378707,2.6883041631020275
