parameter,mean,std,min,max,switch_count
lambda_pen,0.6534536082474227,0.5023669811630602,0.055,1.45,55
m,2.092783505154639,0.47669596850797114,1.45,2.75,55
bond_leverage_upper,1.4886597938144333,0.1442482586981801,1.2999999999999998,1.7000000000000002,53
drawdown_scale,0.9097938144329893,0.08619236457680124,0.65,0.95,13
vol_scalar,0.7803978180509958,0.18799475632393775,0.39617584648570175,1.0,73
trend_scalar,1.0,0.0,1.0,1.0,0
final_risk_scalar,0.7086027881669967,0.17602036617247022,0.2933626669410961,0.95,78
reentry_state,0.7086027881669967,0.17602036617247022,0.2933626669410961,0.95,78
gross_exposure,0.6990054265661565,0.17456926055978444,0.24999999999999997,0.9553549585220287,95
turnover_cap_binding_frequency,0.4329896907216495,0.4980632593449131,0.0,1.0,25
