date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2018-01-03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-06,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-02-28,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-01,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-02,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-05,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-06,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-07,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
2018-03-08,5.4925849135263406e-08,2.0256888060276504e-05,3.0973971257468944e-11,1.5576009887099783e-05,1.0116346521038944e-05,0.4838089866213801,0.512920388618174,0.003124915715214698,5.201028552756569e-05,5.232366620247953e-05
