year,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,variant,status,target_met,observations,sample_start,sample_end,scenario_cvar_95_daily_loss,mean_hhi,max_single_asset_weight,total_transaction_cost,rebalance_count,mean_cash_weight,max_cash_weight,mean_bond_weight,max_bond_weight,mean_defensive_weight,max_defensive_weight,mean_commodity_gold_weight,max_commodity_gold_weight,mean_equity_weight,max_equity_weight
2018,monthly_control,-0.03985687905041568,-0.03995290642777227,9.602737735658895e-05,0.06136503751849641,-1.1307363849412075,-0.6510695347612201,-1.3996979823646982,-0.0722499006960381,-0.5529821638905469,-0.03995290642777227,0.027748728119420713,0.3378407648539472,0.0101048558408669,monthly_control,passed,False,243,2018-01-02,2018-12-28,0.010407788673155692,0.14717459381079873,0.3169588857733518,9.989542122991482e-05,12,0.30032965102959225,0.3169588857733518,0.2421250560106804,0.2821481519462536,0.031842357510077676,0.0471903729629868,0.13509378445271117,0.14135340938781488,0.2906091509969377,0.38613170804499347
2019,monthly_control,0.13022138148632756,0.13017281488180266,4.8566604524902246e-05,0.05193165528849625,1.9013456552500618,2.5066178645501056,2.970191597867827,-0.034665351906283504,3.7551274608063996,0.1307420934935153,0.0119829930578921,0.14468721369901125,0.0065049129908749245,monthly_control,passed,True,244,2019-01-02,2019-12-31,0.006654792877271578,0.13429494231525085,0.3059295098931437,4.3138775008411714e-05,12,0.298590094048203,0.3059295098931437,0.2306127281138367,0.26684579279321713,0.02959688365812893,0.0324461588237947,0.12750764852000235,0.1366532037284615,0.31369264565982813,0.33571462402636254
2020,monthly_control,0.11002179525543632,0.10995094588539622,7.084937004009362e-05,0.09032396494356908,0.9666524431591633,1.2172953872661516,1.3239368217091894,-0.08913472208715623,1.2335366433059143,0.10995094588539622,0.017716477448800172,0.21332780400574491,0.014334724625126482,monthly_control,passed,False,243,2020-01-02,2020-12-31,0.014636647843088825,0.12212645124072545,0.3264660646729366,6.377931881568075e-05,12,0.2985771691265987,0.3264660646729366,0.2082053339646981,0.2501628908044609,0.0272359423275114,0.0299372163204391,0.11363747360061993,0.1316715555661222,0.3523440809805708,0.3814882952935805
2021,monthly_control,0.04398432409062547,0.0439654221832515,1.890190737396935e-05,0.05879260113302931,0.3609868648947627,0.7478053587690646,0.49863394879083495,-0.03815854045706535,1.1521777734848075,0.0439654221832515,0.005016905026994883,0.060911619759885245,0.008690778144694324,monthly_control,passed,False,243,2021-01-04,2021-12-31,0.008878081466849989,0.11805652918875247,0.3094977569973396,1.8060858097181744e-05,12,0.2992944367171477,0.3094977569973396,0.18745801494847453,0.1929928806654606,0.027977934834725462,0.0332025301885089,0.11920294646346055,0.1252747189721087,0.3660666670361905,0.38608574074670904
2022,monthly_control,-0.039524266904601646,-0.03956730423224797,4.303732764632251e-05,0.07240807994466486,-0.7919212844931537,-0.5464487424951163,-1.052413062177534,-0.06372323678674163,-0.6209242691902996,-0.039407727252582125,0.012436633654632637,0.15141601474515237,0.010341490186735008,monthly_control,passed,False,242,2022-01-04,2022-12-30,0.010533102499025717,0.11960911552971304,0.3131105666221747,4.477188115667762e-05,12,0.3003143890871862,0.3131105666221747,0.21849667425497818,0.23166228674046602,0.030025148465009262,0.0318933850960285,0.13416219346540542,0.14556728141566688,0.3170015947274195,0.36682898531907543
2023,monthly_control,0.03852011484966744,0.038492536759889395,2.7578089778046433e-05,0.04184256994568858,0.4299665045538175,0.9199372029455287,0.6109146478393934,-0.034653092765398186,1.1107965750844893,0.03833113346971806,0.0073567237208991,0.08956811130194654,0.005446911675076486,monthly_control,passed,False,242,2023-01-03,2023-12-29,0.005514722124626559,0.11845705746108032,0.3050441237464167,2.648420539523689e-05,12,0.29963841305489064,0.3050441237464167,0.2152047405888112,0.2256554475545176,0.03125127186865067,0.0342292464718011,0.14192247826216997,0.1524712619536818,0.3119830962254762,0.3281537988132603
2024,monthly_control,0.08588827223982665,0.0857997290120287,8.854322779794366e-05,0.05959418248969915,1.1484986796388692,1.439733299921669,1.7567669618317072,-0.04009309220279089,2.1400127627485954,0.08543197422030913,0.0226040176433399,0.272179695963623,0.0077460465048351,monthly_control,passed,True,242,2024-01-02,2024-12-31,0.007947850671807444,0.1253565780098619,0.3070474782538466,8.137446351602376e-05,12,0.2989587293153103,0.3070474782538466,0.2760439296126621,0.3066006832955711,0.02748442267600541,0.0345431020047792,0.1267518590561254,0.1545336397443109,0.27076105933989536,0.2972062038704158
2025,monthly_control,0.13296581761049175,0.13293334045957073,3.247715092102865e-05,0.05974533792699214,1.8982139271891065,2.224999390279007,2.545835248438202,-0.042084051337882955,3.1587581573903183,0.13293334045957073,0.007952468117551808,0.09602112330366275,0.008388235709383891,monthly_control,passed,True,243,2025-01-02,2025-12-31,0.008624109559895805,0.12430670510784847,0.3113811220459627,2.862888522318668e-05,12,0.29908415310694964,0.3113811220459627,0.2756103692076791,0.2985573562568016,0.022609328366175706,0.0240482021170539,0.11704712032573801,0.1582909370291872,0.2856490289934561,0.30986748518293045
2026,monthly_control,0.05913113309450879,0.05906363763371503,6.7495460793765e-05,0.09214118457040435,0.5413897847760424,0.6410123541290591,0.7449169698210869,-0.07428632125091206,0.7950809333284877,0.03850737460751308,0.01744450212928754,0.21417157656209324,0.013887045828792823,monthly_control,passed,False,160,2026-01-05,2026-08-31,0.013887045828792821,0.11932169419663778,0.3152524939724861,4.1866805110290246e-05,8,0.2995904473977081,0.3152524939724861,0.2395820251788492,0.24872897285411633,0.021414487945256282,0.0229882455250211,0.13341851167042357,0.178721065182788,0.3059945278077614,0.3306177891149914
2018,weekly_baseline,-0.04514659900093776,-0.04526711798838312,0.0001205189874453616,0.060933279137063076,-1.2306313042275037,-0.7428964701958587,-1.5102611888187585,-0.07652829134092165,-0.5915082800780843,-0.04526711798838312,0.035016657388902646,0.4263278037098897,0.010132967252221807,weekly_baseline,passed,False,243,2018-01-02,2018-12-28,0.010438172713917131,0.14713503507456405,0.3093081043079281,0.00012605996660005014,51,0.3001155663879751,0.3093081043079281,0.24861142213244178,0.2841304672508483,0.029535850613040898,0.0424971955750231,0.1339826965503255,0.141138936586266,0.2877544643162159,0.3888242644489652
